what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240816238
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1427240816380
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427240817725
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427240818531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240819040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427240822511
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240823395
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240832133
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240832901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427240852883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240853866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240867397
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240868020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240876752
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240877583
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240880582
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240882191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240885479
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240885943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240890915
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427240892424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240893880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240894874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240896936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240898051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240898057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240899312
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1427240899315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240899899
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240901209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427240907623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240908868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427240912309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240913350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240913764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240914136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240916688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427240923036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240924660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240925542
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427240927456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427240934640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240936041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240936190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427240938552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427240939140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427240940801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240942482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240942656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240942932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427240945140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427240945510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240946838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240948646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240948651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240952350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240954968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427240955921
